poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI2090545,310688.0294,5047959.969,309,J4B 7K1,50130000,55710000,0,0,0,0,42112,441221,0,0,0
POI1218791,309244.9751,5049667.99,309,J4B 1B6,50430000,73720000,57340000,0,0,0,0,0,0,0,0
POI4966806,310567.9683,5046369.006,309,J4B 8C5,17110000,0,0,0,0,0,0,0,0,0,0
POI3935563,308673.0019,5048680.979,309,J4B2X4,50310000,52110000,0,0,0,0,0,0,0,0,0
POI2845018,309918.9894,5050250.949,309,J4B 5E4,80490000,0,0,0,0,0,0,0,0,0,0
POI2844082,310481.9861,5045880.949,309,J4B 8C4,50820000,0,0,0,0,0,42181,0,0,0,0
POI4361033,312805.9617,5044836.961,309,J4B 0G7,17710000,0,0,0,0,0,0,0,0,0,0
POI4965511,309493.0352,5047582.001,309,J4B 5H1,20840000,0,0,0,0,0,0,0,0,0,0
POI2844345,308536.9999,5051381.965,309,J4B 6S2,96110000,0,0,0,0,0,0,0,0,0,0
POI3935918,312257.9813,5047936.971,309,J4B 8S5,52110000,73590000,57190000,57140000,57120000,0,0,0,0,0,0
POI3935728,308453.9984,5051516.053,309,J4B 5M4,79910000,0,0,0,0,0,71394,0,0,0,0
POI4363000,308217.022,5052356.97,309,J4B 1W8,80490000,0,0,0,0,0,0,0,0,0,0
POI2854756,310595.9918,5046289.017,309,J4B 8J7,17310000,73730000,0,0,0,0,0,0,0,0,0
POI4147914,309323.0288,5048122.977,309,J4B 7M6,51490000,0,0,0,0,0,0,0,0,0,0
POI2847084,309524.0097,5052355.043,309,J4B 8H2,72990000,0,0,0,0,0,812199,0,0,0,0
POI2843178,308476.0152,5047232.034,309,J4N 1C7,51490000,20660000,20640000,0,0,0,42183,31132,31134,42249,0
POI3935471,309603.0133,5046872.952,309,J4B 7H5,34790000,0,0,0,0,0,0,0,0,0,0
POI2843436,315808.8017,5049004.198,309,J3E 2M2,15210000,17990000,0,0,0,0,23321,23599,0,0,0
POI4988157,309011.993,5047556.987,309,J4B 8B3,72990000,65120000,0,0,0,0,0,0,0,0,0
POI3935051,310265.9731,5046476.978,309,J4B 7L6,32720000,0,0,0,0,0,327999,0,0,0,0
POI2843948,309709.0074,5046596.983,309,J4B 7L9,15210000,17990000,0,0,0,0,23321,23599,0,0,0
POI1219747,310034.0026,5047348.052,309,J4B 5H2,52110000,50910000,44920000,0,0,0,44419,42191,48833,0,0
POI3936559,309951.9841,5047321.979,309,J4B 5H2,30890000,0,0,0,0,0,326199,0,0,0,0
POI2846484,307917.002,5049317.01,309,J4B 2X7,50460000,0,0,0,0,0,42144,0,0,0,0
POI1218804,309761.9618,5050112.018,309,J4B 1B8,55410000,0,0,0,0,0,44719,0,0,0,0
POI5260883,308536.9999,5051381.965,309,J4B 6S2,48130000,0,0,0,0,0,0,0,0,0,0
POI1219412,311992.9595,5047493.022,309,J4B 5Y3,58130000,58120000,0,0,0,0,72241,72211,0,0,0
POI4987910,310832.9911,5054813.984,309,J4B 5E4,52610000,0,0,0,0,0,44422,0,0,0,0
POI3934267,309849.9769,5046623.989,309,J4B 7K2,35770000,0,0,0,0,0,0,0,0,0,0
POI2386453,309051.5029,5047951.154,309,J4B 5L2,80490000,0,0,0,0,0,62134,0,0,0,0
POI3934139,308610.9714,5047517.01,309,J4N 1B8,17110000,0,0,0,0,0,811412,0,0,0,0
POI2384673,309317.987,5052510.032,309,J4B 6W8,37990000,50130000,0,0,0,0,336399,42112,0,0,0
POI4365409,308409.9842,5047489.043,309,J4N 1B8,15210000,29110000,17990000,0,0,0,32411,0,0,0,0
POI4364062,308609.0083,5052524.007,309,J4B 4W8,78410000,0,0,0,0,0,0,0,0,0,0
POI3937487,312142.9822,5048228.001,309,J4B 5E4,56210000,0,0,0,0,0,44812,0,0,0,0
POI5064655,309715.1846,5046693.884,309,J4B 7J4,58120000,0,0,0,0,0,72211,0,0,0,0
POI3818809,310165.0154,5046128.048,309,J4B 6Z5,42310000,0,0,0,0,0,0,0,0,0,0
POI4964963,309979.0209,5050117.973,309,J4B 6P5,56110000,0,0,0,0,0,44811,0,0,0,0
POI4362260,309051.5029,5047951.154,309,J4B 5L2,52110000,0,0,0,0,0,0,0,0,0,0
POI3083581,308862.994,5048864.023,309,J4B 1A9,65310000,0,0,0,0,0,53121,0,0,0,0
